route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"100",1522_PO,1522_8526,"Plac Na Stawach",,1,PO_101-01_51,901047,0,0
"100",1523_PO,1523_8942,"Plac Na Stawach",,1,PO_101-01_51,902997,0,0
"100",1522_PO,1522_8530,"Kopiec Kościuszki",,0,PO_101-01_52,901046,0,0
"100",1523_PO,1523_8945,"Kopiec Kościuszki",,0,PO_101-01_52,902996,0,0
"101",1522_PO,1522_8534,"Os. Podwawelskie",,1,PO_101-01_53,901246,0,0
"101",1523_PO,1523_8950,"Os. Podwawelskie",,1,PO_101-01_53,903078,0,0
"101",1522_PO,1522_8538,"Kopiec Kościuszki",,0,PO_101-01_54,901245,0,0
"101",1523_PO,1523_8953,"Kopiec Kościuszki",,0,PO_101-01_54,903079,0,0
"100",1522_PO,1522_8542,"Plac Na Stawach",,1,PO_101-01_55,901047,0,0
"100",1523_PO,1523_8958,"Plac Na Stawach",,1,PO_101-01_55,902997,0,0
"100",1522_PO,1522_8546,"Kopiec Kościuszki",,0,PO_101-01_56,901046,0,0
"100",1523_PO,1523_8962,"Kopiec Kościuszki",,0,PO_101-01_56,902996,0,0
"101",1522_PO,1522_8550,"Os. Podwawelskie",,1,PO_101-01_57,901246,0,0
"101",1523_PO,1523_8967,"Os. Podwawelskie",,1,PO_101-01_57,903078,0,0
"101",1522_PO,1522_8554,"Kopiec Kościuszki",,0,PO_101-01_58,901245,0,0
"101",1523_PO,1523_8971,"Kopiec Kościuszki",,0,PO_101-01_58,903079,0,0
"101",1522_PO,1522_8558,"Os. Podwawelskie",,1,PO_101-01_59,901246,0,0
"101",1523_PO,1523_8975,"Os. Podwawelskie",,1,PO_101-01_59,903078,0,0
"103",1522_PO,1522_8190,"Lesisko",,0,PO_103-01_2,901091,0,0
"103",1523_PO,1523_7922,"Lesisko",,0,PO_103-01_2,902696,0,0
"103",1522_PO,1522_8194,"Aleja Przyjaźni",,1,PO_103-01_3,901085,0,0
"103",1523_PO,1523_7927,"Aleja Przyjaźni",,1,PO_103-01_3,902691,0,0
"103",1522_PO,1522_8198,"Lesisko",,0,PO_103-01_4,901087,0,0
"103",1523_PO,1523_7931,"Lesisko",,0,PO_103-01_4,902690,0,0
"103",1522_PO,1522_8202,"Aleja Przyjaźni",,1,PO_103-01_5,901085,0,0
"103",1523_PO,1523_7935,"Aleja Przyjaźni",,1,PO_103-01_5,902691,0,0
"103",1522_PO,1522_8206,"Lesisko",,0,PO_103-01_6,901087,0,0
"103",1523_PO,1523_7939,"Lesisko",,0,PO_103-01_6,902690,0,0
"103",1522_PO,1522_8210,"Aleja Przyjaźni",,1,PO_103-01_7,901085,0,0
"103",1523_PO,1523_7942,"Aleja Przyjaźni",,1,PO_103-01_7,902691,0,0
"103",1522_PO,1522_8214,"Lesisko",,0,PO_103-01_8,901087,0,0
"103",1523_PO,1523_7944,"Lesisko",,0,PO_103-01_8,902690,0,0
"103",1522_PO,1522_8218,"Aleja Przyjaźni",,1,PO_103-01_9,901085,0,0
"103",1523_PO,1523_7950,"Aleja Przyjaźni",,1,PO_103-01_9,902691,0,0
"103",1522_PO,1522_8222,"Lesisko",,0,PO_103-01_10,901087,0,0
"103",1523_PO,1523_7955,"Lesisko",,0,PO_103-01_10,902690,0,0
"103",1522_PO,1522_8226,"Aleja Przyjaźni",,1,PO_103-01_11,901085,0,0
"103",1523_PO,1523_7956,"Aleja Przyjaźni",,1,PO_103-01_11,902691,0,0
