OBJECTID,Numer,Pętla_początkowa,Pętla_końcowa,Typ linii,Podtyp linii,relacja,Shape__Length,validFrom,validUntil
268,214,Podstolice Centrum,Borek Fałęcki,autobusowa,,2,11818.0641420512,,
269,214,Borek Fałęcki,Grabówki Pętla,autobusowa,,11,9241.23269955467,,
270,214,Grabówki Pętla,Borek Fałęcki,autobusowa,,21,9717.94677207224,,
271,215,Borek Fałęcki,Rzeszotary Panciawa Pętla,autobusowa,,1,15303.2349788309,,
272,215,Rzeszotary Panciawa Pętla,Borek Fałęcki,autobusowa,,2,15732.7615167551,,
273,217,Górka Narodowa P+R,Węgrzce Pętla,autobusowa,,1,3678.71695883252,,
274,217,Węgrzce Pętla,Górka Narodowa P+R,autobusowa,,2,3753.8535495335,,
275,218,Bronowice Małe,Zabierzów Młyn,autobusowa,,1,19714.1855373161,,
276,218,Zabierzów Młyn,Bronowice Małe,autobusowa,,2,20230.6561125454,,
277,219,Jeziorzany Pętla,Os. Podwawelskie,autobusowa,,2,21576.091057363,,
278,220,Krowodrza Górka P+R,Giebułtów Morgi,autobusowa,,1,10632.1222441901,,
279,220,Giebułtów Morgi,Krowodrza Górka P+R,autobusowa,,2,10736.1219126705,,
280,221,Mały Płaszów P+R,Niepołomice Dworzec,autobusowa,,1,20184.300588005,,
281,221,Niepołomice Dworzec,Mały Płaszów P+R,autobusowa,,2,19734.6172880041,,
282,221,Brzegi Pętla,Mały Płaszów P+R,autobusowa,,21,8553.17907504751,,
283,222,Czyżyny Dworzec,Słomniki Osiedle,autobusowa,,1,24974.0251075387,,
284,222,Słomniki Osiedle,Czyżyny Dworzec,autobusowa,,2,24596.4226230127,,
285,232,Czyżyny Dworzec,Wilków Pętla,autobusowa,,1,22686.7155141161,,
286,232,Wilków Pętla,Czyżyny Dworzec,autobusowa,,2,22717.8329489085,,
287,262,Czyżyny Dworzec,Rawałowice Kapliczka,autobusowa,,1,15934.117420602,,
288,262,Rawałowice Kapliczka,Czyżyny Dworzec,autobusowa,,2,16000.9301719761,,
289,223,Czerwone Maki P+R,Brzeźnica Dworzec,autobusowa,,1,22488.7048440941,,
290,223,Brzeźnica Dworzec,Czerwone Maki P+R,autobusowa,,2,22786.5878971606,,
291,223,Skawina,Brzeźnica Dworzec,autobusowa,,11,16832.2604534911,,
292,223,Brzeźnica Dworzec,Skawina,autobusowa,,21,16390.5141169033,,
293,233,Czerwone Maki P+R,Skawina SCK,autobusowa,,1,12895.2542793233,,
294,233,Skawina SCK,Czerwone Maki P+R,autobusowa,,2,12918.8194160859,,
